X,Y,incident_id,department,commune,incident_date,details,incident_type_id,gang_affiliations,icon_url
-72.340666,18.528868,0,West,Port-au-Prince,2025/05/01 08:13:00.985-04,b'Gang activity in progress.',4,,./0.png
-72.336306,18.541779,2,West,Port-au-Prince,2025/05/01 18:18:00-04,,1,,./0.png
-72.286417,18.513877,3,West,Petion-Ville,2025/05/01 22:35:00-04,,1,,./0.png
-72.33934,18.532669,4,West,Port-au-Prince,2025/05/02 13:28:00-04,,1,,./0.png
-72.320556,18.548333,5,West,Port-au-Prince,2025/05/02 14:05:00-04,b'Clash between gang and the population of the area defending itself.',1,,./0.png
-72.335833,18.541667,6,West,Port-au-Prince,2025/05/02 18:05:00-04,,1,,./0.png
-72.335833,18.541667,7,West,Port-au-Prince,2025/05/03 06:26:00.671-04,,1,,./0.png
-72.335833,18.541667,8,West,Port-au-Prince,2025/05/03 08:26:00.550-04,,1,,./0.png
-72.336379,18.541775,9,West,Port-au-Prince,2025/05/03 08:28:00-04,,1,,./0.png
-72.286486,18.604683,10,West,Croix-Des-Bouquets,2025/05/03 10:10:00-04,,1,,./0.png
-72.512821,18.772188,12,West,Arcahaie,2025/05/03 12:32:00-04,,1,,./0.png
-72.316773,18.545779,13,West,Delmas,2025/05/03 13:53:00-04,,1,,./0.png
-72.417412,18.736037,15,West,Cabaret,2025/05/03 14:53:00-04,,1,,./0.png
-72.336473,18.541824,16,West,Port-au-Prince,2025/05/03 17:59:00-04,,1,,./0.png
-72.336353,18.541913,17,West,Port-au-Prince,2025/05/03 20:02:00-04,,1,,./0.png
-72.343999,18.539633,18,West,Port-au-Prince,2025/05/04 08:05:00.808-04,,1,,./0.png
-72.10622406,18.83595244,19,Centre,Mirebalais,2025/05/04 08:53:00.562-04,b'Gang activity in progress',4,,./0.png
-72.336585,18.541563,20,West,Port-au-Prince,2025/05/04 13:12:00-04,,1,,./0.png
-72.316944,18.545833,21,West,Delmas,2025/05/04 13:14:00-04,,1,,./0.png
-72.254205,18.522797,22,West,Petion-Ville,2025/05/04 21:57:00-04,,1,,./0.png
-72.333544,18.535104,23,West,Port-au-Prince,2025/05/05 07:16:00.967-04,,1,,./0.png
-72.333555,18.535126,24,West,Port-au-Prince,2025/05/05 09:30:00.308-04,,1,,./0.png
-72.338017,18.534098,25,West,Port-au-Prince,2025/05/05 17:23:00.502-04,,1,,./0.png
-72.33863,18.530207,26,West,Port-au-Prince,2025/05/06 08:20:00-04,,1,,./0.png
-72.305416,18.573756,28,West,Delmas,2025/05/06 14:43:00-04,,1,,./0.png
-72.311134,18.554744,29,West,Delmas,2025/05/06 15:53:00-04,,1,,./0.png
-72.320354,18.547959,30,West,Port-au-Prince,2025/05/06 17:46:00-04,,1,,./0.png
-72.253312,18.522992,31,West,Petion-Ville,2025/05/06 22:01:00-04,,1,,./0.png
-72.104525,18.832947,32,Centre,Mirebalais,2025/05/07 12:05:00.915-04,,1,,./0.png
-72.108816,18.816804,33,Centre,Mirebalais,2025/05/07 12:05:00.955-04,b'Armed man on the RN3 at the exit of Mirebalais towards Hinche.',4,,./0.png
-72.338119,18.534172,34,West,Port-au-Prince,2025/05/07 17:20:00-04,,1,,./0.png
-72.321762,18.550775,35,West,Port-au-Prince,2025/05/07 21:31:00-04,,1,,./0.png
-72.312621,18.561902,36,West,Delmas,2025/05/08 07:45:00.346-04,,1,,./0.png
-72.343052,18.539452,38,West,Port-au-Prince,2025/05/08 19:20:00-04,,1,,./0.png
-72.284752,18.446002,39,West,Kenscoff,2025/05/09 07:03:00.608-04,,1,,./0.png
-72.319668,18.497997,40,West,Petion-Ville,2025/05/09 07:08:00.061-04,,1,,./0.png
-72.3024672,18.4204176,41,West,Kenscoff,2025/05/09 06:00:00.660-04,"b""The gangs attacked the police station in the area early in the morning, seizing all the police officers' tactical equipment, weapons, bulletproof vests, ammunition and vehicles.""",4,,./0.png
-72.300493,18.417812,42,West,Kenscoff,2025/05/09 10:54:00.599-04,,1,,./0.png
-72.346655,18.536506,43,West,Port-au-Prince,2025/05/09 12:41:00.202-04,,1,,./0.png
-72.338086,18.534123,44,West,Port-au-Prince,2025/05/10 07:01:00-04,,1,,./0.png
-72.335156,18.532119,45,West,Port-au-Prince,2025/05/10 09:20:00-04,,1,,./0.png
-72.287833,18.451954,46,West,Kenscoff,2025/05/10 10:27:00-04,b'Police operation in progress',4,,./0.png
-72.065952,18.531147,47,West,Ganthier,2025/05/10 00:26:00-04,b'Gang activity in progress',4,,./0.png
-72.335366,18.532309,48,West,Port-au-Prince,2025/05/10 18:10:00-04,,1,,./0.png
-72.335349,18.532235,49,West,Port-au-Prince,2025/05/11 07:21:00.649-04,,1,,./0.png
-72.299995,18.417062,50,West,Kenscoff,2025/05/11 08:29:00.022-04,,1,,./0.png
-72.341293,18.539104,51,West,Port-au-Prince,2025/05/11 09:05:00.744-04,,1,,./0.png
-72.343529,18.539574,52,West,Port-au-Prince,2025/05/11 12:53:00-04,,1,,./0.png
-72.338724,18.530345,53,West,Port-au-Prince,2025/05/11 12:55:00-04,,1,,./0.png
-72.342241,18.536119,54,West,Port-au-Prince,2025/05/11 22:08:00-04,,1,,./0.png
-72.286451,18.449796,55,West,Kenscoff,2025/05/12 08:26:00.996-04,,1,,./0.png
-72.305849,18.582686,56,West,Tabarre,2025/05/12 10:10:00.096-04,b'On several occasions during the day armed men were observed and they carried out attacks against the police',4,,./0.png
-72.305961,18.587184,57,West,Cite Soleil,2025/05/12 11:53:00.843-04,,1,,./0.png
-72.199831,18.815635,58,Centre,Saut d'Eau,2025/05/12 12:50:00.601-04,,1,,./0.png
-72.102928,18.833678,59,Centre,Mirebalais,2025/05/12 12:50:00.497-04,,1,,./0.png
-72.311325,18.552744,60,West,Delmas,2025/05/12 13:20:00.116-04,,1,,./0.png
-72.33884,18.530132,61,West,Port-au-Prince,2025/05/12 13:24:00.706-04,,1,,./0.png
-72.305725,18.586603,62,West,Cite Soleil,2025/05/12 14:00:00.728-04,b'Gang members set tires on fire',4,,./0.png
-72.343003,18.539527,64,West,Port-au-Prince,2025/05/12 17:07:00.990-04,,1,,./0.png
-72.338141,18.534164,65,West,Port-au-Prince,2025/05/12 18:52:00-04,,1,,./0.png
-72.101366,18.831403,66,Centre,Mirebalais,2025/05/13 06:59:00.662-04,,1,,./0.png
-72.270779,18.587778,131,West,Tabarre,2025/05/23 10:57:00.718-04,,1,,./0.png
-72.311505,18.552809,67,West,Delmas,2025/05/13 10:38:00.335-04,,1,,./0.png
-72.305471,18.58594,68,West,Cite Soleil,2025/05/13 11:53:00.670-04,,1,,./0.png
-72.311694,18.552241,69,West,Delmas,2025/05/13 12:05:00.260-04,,1,,./0.png
